"","ds","tv_S","ooh_S","print_S","facebook_S","search_S","newsletter","type","solID"
"26",2016-05-16,0,0,0,11021.7923219335,0,19401.6538461538,"rawMedia","3_130_15"
"27",2016-05-23,0,373328,0,0,0,19401.6538461538,"rawMedia","3_130_15"
"28",2016-05-30,0,0,0,0,4040,9003,"rawMedia","3_130_15"
"29",2016-06-06,0,0,0,0,3600,4305,"rawMedia","3_130_15"
"30",2016-06-13,0,0,0,0,4560,7217,"rawMedia","3_130_15"
"31",2016-06-20,61417.16,371724.8,0,7659.46754399115,4880,1983,"rawMedia","3_130_15"
"32",2016-06-27,0,0,0,0,4520,3437,"rawMedia","3_130_15"
"33",2016-07-04,30363.04,0,15505.2,0,5240,4147,"rawMedia","3_130_15"
"34",2016-07-11,0,0,0,0,5720,8479,"rawMedia","3_130_15"
"35",2016-07-18,5701.24,958929.6,14342,10658.4448704671,4280,6348,"rawMedia","3_130_15"
"36",2016-07-25,0,0,0,0,5840,13762,"rawMedia","3_130_15"
"37",2016-08-01,84540.76,492651.2,0,15306.0942473233,6840,11841,"rawMedia","3_130_15"
"38",2016-08-08,0,0,2423.33333333333,0,7600,17162,"rawMedia","3_130_15"
"39",2016-08-15,85892.04,0,0,3035.63307500258,0,19401.6538461538,"rawMedia","3_130_15"
"40",2016-08-22,0,0,41939.2,1925.51815540065,0,19401.6538461538,"rawMedia","3_130_15"
"41",2016-08-29,71973.48,478937.6,0,0,9240,2453,"rawMedia","3_130_15"
"42",2016-09-05,63785.52,263430.4,9244.13333333332,188.390732940523,9520,3186,"rawMedia","3_130_15"
"43",2016-09-12,0,480347.2,0,0,10000,11247,"rawMedia","3_130_15"
"44",2016-09-19,0,98083.2,76609.8666666668,13612.8542979335,10200,15280,"rawMedia","3_130_15"
"45",2016-09-26,0,487126.4,0,0,8920,2886,"rawMedia","3_130_15"
"46",2016-10-03,433609.92,365609.6,29439.4666666667,9441.50307843027,10120,14067,"rawMedia","3_130_15"
"47",2016-10-10,0,0,32171.3333333333,10842.500086987,11960,24098,"rawMedia","3_130_15"
"48",2016-10-17,244168.04,89387.2,0,15973.251880587,11160,26550,"rawMedia","3_130_15"
"49",2016-10-24,0,476737.6,28082.9333333333,17597.7688101301,12240,17728,"rawMedia","3_130_15"
"50",2016-10-31,281984.36,0,0,19222.2857396732,14680,13989,"rawMedia","3_130_15"
"51",2016-11-07,0,427806.4,34631.4666666667,20864.8339566018,12480,29426,"rawMedia","3_130_15"
"52",2016-11-14,156973.16,0,0,15996.046149546,0,19401.6538461538,"rawMedia","3_130_15"
"53",2016-11-21,20871.16,435054.4,21879.2,20046.2815518938,0,19401.6538461538,"rawMedia","3_130_15"
"54",2016-11-28,0,0,12428.8,14195.6391147518,28600,27941,"rawMedia","3_130_15"
"55",2016-12-05,42763.2,717241.6,0,4969.40359385557,25200,51273,"rawMedia","3_130_15"
"56",2016-12-12,0,0,0,9091.08371980631,22040,19606,"rawMedia","3_130_15"
"57",2016-12-19,0,1004760,0,3035.63307500258,20680,4453,"rawMedia","3_130_15"
"58",2016-12-26,323163.04,0,0,21679.6440186449,23200,559,"rawMedia","3_130_15"
"59",2017-01-02,123163.04,1361088,83994.4,12843.6327738085,22120,46507,"rawMedia","3_130_15"
"60",2017-01-09,0,0,0,16418.9308706815,21240,21771,"rawMedia","3_130_15"
"61",2017-01-16,17739.88,0,4606.93333333332,17963.1575394137,20120,35351,"rawMedia","3_130_15"
"62",2017-01-23,0,0,32342.9333333333,19507.3842081459,21000,13998,"rawMedia","3_130_15"
"63",2017-01-30,120734.88,0,0,12841.9317089608,21680,27415,"rawMedia","3_130_15"
"64",2017-02-06,0,0,0,0,16760,4085,"rawMedia","3_130_15"
"65",2017-02-13,0,383171.2,0,24781.3656619212,0,19401.6538461538,"rawMedia","3_130_15"
"66",2017-02-20,0,0,32073.0666666667,0,0,19401.6538461538,"rawMedia","3_130_15"
"67",2017-02-27,0,0,0,41701.8577018849,13520,26556,"rawMedia","3_130_15"
"68",2017-03-06,0,0,42083.3333333332,0,14000,12272,"rawMedia","3_130_15"
"69",2017-03-13,31082.64,0,0,0,12640,25992,"rawMedia","3_130_15"
"70",2017-03-20,0,0,59561.4666666668,0,11320,22696,"rawMedia","3_130_15"
"71",2017-03-27,0,73428.8,0,7847.60531614557,14400,26404,"rawMedia","3_130_15"
"72",2017-04-03,0,0,0,0,13680,1245,"rawMedia","3_130_15"
"73",2017-04-10,0,1501084.8,0,0,11000,1126,"rawMedia","3_130_15"
"74",2017-04-17,22407.16,0,0,0,10640,11966,"rawMedia","3_130_15"
"75",2017-04-24,0,888464,0,0,9800,17897,"rawMedia","3_130_15"
"76",2017-05-01,109868.76,0,0,0,7800,6052,"rawMedia","3_130_15"
"77",2017-05-08,0,919038.4,0,0,8040,9055,"rawMedia","3_130_15"
"78",2017-05-15,0,0,0,0,0,19401.6538461538,"rawMedia","3_130_15"
"79",2017-05-22,0,123019.2,0,11935.6043581121,0,19401.6538461538,"rawMedia","3_130_15"
"80",2017-05-29,0,0,21524.1333333333,0,6520,5778,"rawMedia","3_130_15"
"81",2017-06-05,27376.4,127460.8,0,9276.15957523489,8040,1988,"rawMedia","3_130_15"
"82",2017-06-12,0,0,0,0,6680,4794,"rawMedia","3_130_15"
"83",2017-06-19,108779.04,0,0,93.8115274090074,9520,5180,"rawMedia","3_130_15"
"84",2017-06-26,0,475896,13978.2666666667,0,8000,1048,"rawMedia","3_130_15"
"85",2017-07-03,13682.28,0,28719.2,19950.3414944841,11360,10977,"rawMedia","3_130_15"
"86",2017-07-10,0,0,0,0,11160,6813,"rawMedia","3_130_15"
"87",2017-07-17,29591.4,324544,74872.5333333332,0,11560,2361,"rawMedia","3_130_15"
"88",2017-07-24,0,0,0,0,11600,15114,"rawMedia","3_130_15"
"89",2017-07-31,34154.76,616320,4357.33333333332,0,13600,10044,"rawMedia","3_130_15"
"90",2017-08-07,0,314598.4,28401.7333333333,0,16080,8930,"rawMedia","3_130_15"
"91",2017-08-14,102141.16,0,0,0,0,19401.6538461538,"rawMedia","3_130_15"
"92",2017-08-21,0,0,34044.5333333333,4028.03430714441,0,19401.6538461538,"rawMedia","3_130_15"
"93",2017-08-28,353667.36,0,0,2696.7809573429,21000,33712,"rawMedia","3_130_15"
"94",2017-09-04,0,0,0,0,19480,20000,"rawMedia","3_130_15"
"95",2017-09-11,146607.8,450494.4,13831.0666666667,1865.30045979246,16760,2265,"rawMedia","3_130_15"
"96",2017-09-18,0,0,0,0,19320,15924,"rawMedia","3_130_15"
"97",2017-09-25,250991.52,433691.2,0,7587.00218147959,22920,24336,"rawMedia","3_130_15"
"98",2017-10-02,333913.36,175089.6,0,0,22040,29510,"rawMedia","3_130_15"
"99",2017-10-09,133913.36,981708.8,55514.8,16045.7172430985,24040,15458,"rawMedia","3_130_15"
"100",2017-10-16,0,0,0,12571.1221852087,22760,43966,"rawMedia","3_130_15"
"101",2017-10-23,133081.52,138273.6,0,14195.6391147518,23760,35016,"rawMedia","3_130_15"
"102",2017-10-30,13935.68,0,0,15820.1560442949,25400,4749,"rawMedia","3_130_15"
"103",2017-11-06,63447.04,955572.8,69119.7333333332,10658.4448704671,29480,25943,"rawMedia","3_130_15"
"104",2017-11-13,0,0,0,22800.3055403025,0,19401.6538461538,"rawMedia","3_130_15"
"105",2017-11-20,165682,315915.2,4038.26666666668,9839.89246575906,0,19401.6538461538,"rawMedia","3_130_15"
"106",2017-11-27,0,0,28805.3333333333,7391.37972399534,45040,41469,"rawMedia","3_130_15"
"107",2017-12-04,86770.64,263526.4,0,4969.40359385557,38200,16136,"rawMedia","3_130_15"
"108",2017-12-11,0,0,0,9091.08371980631,33360,37784,"rawMedia","3_130_15"
"109",2017-12-18,191247.16,275524.8,0,3035.63307500258,35000,43251,"rawMedia","3_130_15"
"110",2017-12-25,271247.16,0,45103.3333333332,21679.6440186449,30240,57523,"rawMedia","3_130_15"
"111",2018-01-01,0,0,15875.0666666667,12843.6327738085,31960,77617,"rawMedia","3_130_15"
"112",2018-01-08,0,11841.6,0,16418.9308706815,32520,74527,"rawMedia","3_130_15"
"113",2018-01-15,117267.72,0,46442,0,30240,10394,"rawMedia","3_130_15"
"114",2018-01-22,0,170433.6,58042.2666666668,0,27680,9740,"rawMedia","3_130_15"
"115",2018-01-29,75507.6,0,0,0,26880,13533,"rawMedia","3_130_15"
"116",2018-02-05,0,0,14240.4,1418.94104375883,31840,56102,"rawMedia","3_130_15"
"117",2018-02-12,27495.64,162556.8,0,0,0,19401.6538461538,"rawMedia","3_130_15"
"118",2018-02-19,0,0,18934.2666666667,0,0,19401.6538461538,"rawMedia","3_130_15"
"119",2018-02-26,37068.32,168513.6,30008.4,0,22240,19325,"rawMedia","3_130_15"
"120",2018-03-05,0,0,0,0,22080,18078,"rawMedia","3_130_15"
"121",2018-03-12,159360.76,271812.8,61460.4,0,21240,8711,"rawMedia","3_130_15"
"122",2018-03-19,0,0,0,0,17880,12979,"rawMedia","3_130_15"
"123",2018-03-26,59231.52,245745.6,8967.46666666668,0,19000,23910,"rawMedia","3_130_15"
"124",2018-04-02,0,0,0,0,16560,10567,"rawMedia","3_130_15"
"125",2018-04-09,0,33772.8,0,0,17920,41329,"rawMedia","3_130_15"
"126",2018-04-16,0,0,0,6339.78143515393,14920,21616,"rawMedia","3_130_15"
"127",2018-04-23,0,475060.8,0,0,11080,2529,"rawMedia","3_130_15"
"128",2018-04-30,0,0,0,38401.791897368,9520,6836,"rawMedia","3_130_15"
"129",2018-05-07,0,179022.4,0,0,14160,330,"rawMedia","3_130_15"
"130",2018-05-14,0,0,20410.9333333333,39121.3423279405,0,19401.6538461538,"rawMedia","3_130_15"
"131",2018-05-21,2841.32,78865.6,0,0,0,19401.6538461538,"rawMedia","3_130_15"
"132",2018-05-28,0,0,12616.2666666667,3027.12775076413,13920,28568,"rawMedia","3_130_15"
"133",2018-06-04,0,0,0,0,14160,26708,"rawMedia","3_130_15"
"134",2018-06-11,24944.04,0,16274,0,13600,7675,"rawMedia","3_130_15"
"135",2018-06-18,0,52388.8,0,0,16240,23355,"rawMedia","3_130_15"
"136",2018-06-25,0,0,31152.4,11270.8282156352,15480,16989,"rawMedia","3_130_15"
"137",2018-07-02,43865.84,504304,0,0,11800,14653,"rawMedia","3_130_15"
"138",2018-07-09,0,0,34463.7333333333,24239.4064014475,15560,15143,"rawMedia","3_130_15"
"139",2018-07-16,26567.36,178553.6,0,0,15440,9013,"rawMedia","3_130_15"
"140",2018-07-23,29186.68,0,15518,0,20760,22477,"rawMedia","3_130_15"
"141",2018-07-30,0,0,0,0,23240,8906,"rawMedia","3_130_15"
"142",2018-08-06,39124.48,277723.2,21600.4,0,26320,59318,"rawMedia","3_130_15"
"143",2018-08-13,0,0,0,13352.2511632676,0,19401.6538461538,"rawMedia","3_130_15"
"144",2018-08-20,184689.36,319296,0,0,0,19401.6538461538,"rawMedia","3_130_15"
"145",2018-08-27,0,0,0,13525.4195647623,25760,48020,"rawMedia","3_130_15"
"146",2018-09-03,34984.24,204640,2317.33333333333,0,29200,70855,"rawMedia","3_130_15"
"147",2018-09-10,0,0,1608,0,31520,46225,"rawMedia","3_130_15"
"148",2018-09-17,0,138361.6,29055.2,10208.6833247381,28080,74995,"rawMedia","3_130_15"
"149",2018-09-24,2663.8,87960,0,0,32680,1047,"rawMedia","3_130_15"
"150",2018-10-01,470110.32,78681.6,8095.33333333332,2750.53460652988,37040,34469,"rawMedia","3_130_15"
"151",2018-10-08,0,0,7769.46666666668,6047.53849432094,34480,22232,"rawMedia","3_130_15"
"152",2018-10-15,133468.56,189321.6,3117.33333333333,7327.75989869177,38280,49409,"rawMedia","3_130_15"
"153",2018-10-22,0,0,0,0,40480,49575,"rawMedia","3_130_15"
"154",2018-10-29,75869.92,0,6384.4,23795.4284762006,41400,42276,"rawMedia","3_130_15"
"155",2018-11-05,0,436176,4366.53333333332,0,42160,25332,"rawMedia","3_130_15"
"156",2018-11-12,172052.76,0,0,26185.4245872038,0,19401.6538461538,"rawMedia","3_130_15"
"157",2018-11-19,0,141160,0,0,0,19401.6538461538,"rawMedia","3_130_15"
"158",2018-11-26,160575.6,0,45388.4,21010.7853205335,48000,301,"rawMedia","3_130_15"
"159",2018-12-03,0,160676.8,0,0,41960,34832,"rawMedia","3_130_15"
"160",2018-12-10,0,0,18848,0,47320,68792,"rawMedia","3_130_15"
"161",2018-12-17,0,46091.2,0,0,46640,37199,"rawMedia","3_130_15"
"162",2018-12-24,474139.72,0,22355.8666666667,27204.0222180001,51440,80865,"rawMedia","3_130_15"
"163",2018-12-31,154139.72,0,0,0,43480,54011,"rawMedia","3_130_15"
"164",2019-01-07,0,988.8,2710.8,4427.44433338182,51080,96236,"rawMedia","3_130_15"
"165",2019-01-14,34751.92,0,2205.33333333333,0,48880,80627,"rawMedia","3_130_15"
"166",2019-01-21,0,81825.6,8760.66666666668,8584.50660816449,41440,629,"rawMedia","3_130_15"
"167",2019-01-28,95029.2,0,0,0,45600,19984,"rawMedia","3_130_15"
"168",2019-02-04,0,0,12816.1333333333,0,41760,55736,"rawMedia","3_130_15"
"169",2019-02-11,38168.52,0,3575.73333333333,6330.93589794594,0,19401.6538461538,"rawMedia","3_130_15"
"170",2019-02-18,0,0,1505.06666666667,0,0,19401.6538461538,"rawMedia","3_130_15"
"171",2019-02-25,54362.88,92649.6,1937.46666666667,0,36560,46243,"rawMedia","3_130_15"
"172",2019-03-04,0,0,0,0,29840,36979,"rawMedia","3_130_15"
"173",2019-03-11,16470.96,0,0,0,27120,23990,"rawMedia","3_130_15"
"174",2019-03-18,0,0,0,18362.2273526816,21480,16046,"rawMedia","3_130_15"
"175",2019-03-25,10450.16,17296,0,0,23920,28980,"rawMedia","3_130_15"
"176",2019-04-01,0,0,0,9925.96634705213,23640,7453,"rawMedia","3_130_15"
"177",2019-04-08,143669.44,6171.2,0,0,22360,37507,"rawMedia","3_130_15"
"178",2019-04-15,0,0,8988.66666666668,0,19200,43718,"rawMedia","3_130_15"
"179",2019-04-22,14635.2,0,0,4790.79178484821,18800,1167,"rawMedia","3_130_15"
"180",2019-04-29,0,0,37397.7333333333,7539.3723657443,16880,1546,"rawMedia","3_130_15"
"181",2019-05-06,11087.68,0,0,0,21840,34861,"rawMedia","3_130_15"
"182",2019-05-13,0,0,6371.2,19365.1751868791,0,19401.6538461538,"rawMedia","3_130_15"
"183",2019-05-20,87721.16,17307.2,11368.6666666667,0,0,19401.6538461538,"rawMedia","3_130_15"
"184",2019-05-27,0,11003.2,0,0,15640,21000,"rawMedia","3_130_15"
"185",2019-06-03,0,0,4175.73333333332,0,18600,19903,"rawMedia","3_130_15"
"186",2019-06-10,0,0,0,148.585815504597,12440,8031,"rawMedia","3_130_15"
"187",2019-06-17,0,0,0,0,14440,20173,"rawMedia","3_130_15"
"188",2019-06-24,18481.44,0,0,0,14800,26938,"rawMedia","3_130_15"
"189",2019-07-01,0,0,0,0,19160,8713,"rawMedia","3_130_15"
"190",2019-07-08,15811.08,0,0,0,18400,17384,"rawMedia","3_130_15"
"191",2019-07-15,0,199395.2,0,0,23160,4153,"rawMedia","3_130_15"
"192",2019-07-22,36148.52,0,0,8580.42405253004,25560,25861,"rawMedia","3_130_15"
"193",2019-07-29,0,115297.6,0,0,28560,1820,"rawMedia","3_130_15"
"194",2019-08-05,39029.92,0,0,46201.1742240227,32440,40473,"rawMedia","3_130_15"
"195",2019-08-12,0,101840,0,0,0,19401.6538461538,"rawMedia","3_130_15"
"196",2019-08-19,0,0,9660.8,29234.7534331714,0,19401.6538461538,"rawMedia","3_130_15"
"197",2019-08-26,0,115566.4,0,0,38960,48083,"rawMedia","3_130_15"
"198",2019-09-02,679.24,0,41193.4666666668,12113.8759541499,38400,34061,"rawMedia","3_130_15"
"199",2019-09-09,147803.4,12734.4,0,0,41280,31325,"rawMedia","3_130_15"
"200",2019-09-16,0,34385.6,43812.9333333332,3992.65215831248,48280,70417,"rawMedia","3_130_15"
"201",2019-09-23,83450.84,0,0,0,46280,50905,"rawMedia","3_130_15"
"202",2019-09-30,0,94366.4,58826.8,0,44040,79428,"rawMedia","3_130_15"
"203",2019-10-07,57791.84,0,0,41579.3810328513,46040,58284,"rawMedia","3_130_15"
"204",2019-10-14,0,96692.8,61489.4666666668,0,44840,28157,"rawMedia","3_130_15"
"205",2019-10-21,61967.04,0,0,13362.4575523537,41480,10644,"rawMedia","3_130_15"
"206",2019-10-28,8793,22550.4,6990.4,0,45880,9597,"rawMedia","3_130_15"
"207",2019-11-04,8981.2,0,9620.53333333332,0,53640,90189,"rawMedia","3_130_15"
"208",2019-11-11,0,0,0,36619.0759369898,0,19401.6538461538,"rawMedia","3_130_15"
"209",2015-11-23,67075.04,0,38185.4666666667,22821.3987444138,0,NA,"rawSpend","3_130_15"
"210",2015-11-30,85840.36,0,0,3425.85735106246,12400,NA,"rawSpend","3_130_15"
"211",2015-12-07,0,396835.2,1361.6,12769.1261334797,11360,NA,"rawSpend","3_130_15"
"212",2015-12-14,250350.92,0,53040,8401.47203055314,12760,NA,"rawSpend","3_130_15"
"213",2015-12-21,0,832008,0,2068.74781557608,10840,NA,"rawSpend","3_130_15"
"214",2015-12-28,99675.92,0,95766.9333333332,16011.0155202057,11320,NA,"rawSpend","3_130_15"
"215",2016-01-04,2061.16,680260.8,0,10869.036698611,11120,NA,"rawSpend","3_130_15"
"216",2016-01-11,8856.68,0,70743.8666666668,12389.4484594755,12800,NA,"rawSpend","3_130_15"
"217",2016-01-18,0,0,0,10869.036698611,9160,NA,"rawSpend","3_130_15"
"218",2016-01-25,0,0,33731.7333333333,9008.07175523908,9160,NA,"rawSpend","3_130_15"
"219",2016-02-01,49535.48,127432,0,0,8240,NA,"rawSpend","3_130_15"
"220",2016-02-08,0,0,14290.6666666667,10693.1465933599,8080,NA,"rawSpend","3_130_15"
"221",2016-02-15,198829.32,0,7345.2,4345.79322069274,0,NA,"rawSpend","3_130_15"
"222",2016-02-22,0,0,0,0,0,NA,"rawSpend","3_130_15"
"223",2016-02-29,124668.88,0,0,7246.78921194176,6880,NA,"rawSpend","3_130_15"
"224",2016-03-07,0,0,49518.2666666668,0,8480,NA,"rawSpend","3_130_15"
"225",2016-03-14,59317.32,131982.4,0,0,7120,NA,"rawSpend","3_130_15"
"226",2016-03-21,0,0,0,0,6880,NA,"rawSpend","3_130_15"
"227",2016-03-28,0,198265.6,40738.2666666668,19413.1452155839,7600,NA,"rawSpend","3_130_15"
"228",2016-04-04,0,0,0,62.5119342115275,5720,NA,"rawSpend","3_130_15"
"229",2016-04-11,0,199241.6,0,0,5600,NA,"rawSpend","3_130_15"
"230",2016-04-18,33380.2,0,0,7046.06355991445,5360,NA,"rawSpend","3_130_15"
"231",2016-04-25,0,0,0,0,5400,NA,"rawSpend","3_130_15"
"232",2016-05-02,0,0,37555.7333333333,0,3800,NA,"rawSpend","3_130_15"
"233",2016-05-09,0,149873.6,0,0,4280,NA,"rawSpend","3_130_15"
"234",2016-05-16,0,0,0,11021.7923219335,0,NA,"rawSpend","3_130_15"
"235",2016-05-23,0,373328,0,0,0,NA,"rawSpend","3_130_15"
"236",2016-05-30,0,0,0,0,4040,NA,"rawSpend","3_130_15"
"237",2016-06-06,0,0,0,0,3600,NA,"rawSpend","3_130_15"
"238",2016-06-13,0,0,0,0,4560,NA,"rawSpend","3_130_15"
"239",2016-06-20,61417.16,371724.8,0,7659.46754399115,4880,NA,"rawSpend","3_130_15"
"240",2016-06-27,0,0,0,0,4520,NA,"rawSpend","3_130_15"
"241",2016-07-04,30363.04,0,15505.2,0,5240,NA,"rawSpend","3_130_15"
"242",2016-07-11,0,0,0,0,5720,NA,"rawSpend","3_130_15"
"243",2016-07-18,5701.24,958929.6,14342,10658.4448704671,4280,NA,"rawSpend","3_130_15"
"244",2016-07-25,0,0,0,0,5840,NA,"rawSpend","3_130_15"
"245",2016-08-01,84540.76,492651.2,0,15306.0942473233,6840,NA,"rawSpend","3_130_15"
"246",2016-08-08,0,0,2423.33333333333,0,7600,NA,"rawSpend","3_130_15"
"247",2016-08-15,85892.04,0,0,3035.63307500258,0,NA,"rawSpend","3_130_15"
"248",2016-08-22,0,0,41939.2,1925.51815540065,0,NA,"rawSpend","3_130_15"
"249",2016-08-29,71973.48,478937.6,0,0,9240,NA,"rawSpend","3_130_15"
"250",2016-09-05,63785.52,263430.4,9244.13333333332,188.390732940523,9520,NA,"rawSpend","3_130_15"
"251",2016-09-12,0,480347.2,0,0,10000,NA,"rawSpend","3_130_15"
"252",2016-09-19,0,98083.2,76609.8666666668,13612.8542979335,10200,NA,"rawSpend","3_130_15"
"253",2016-09-26,0,487126.4,0,0,8920,NA,"rawSpend","3_130_15"
"254",2016-10-03,433609.92,365609.6,29439.4666666667,9441.50307843027,10120,NA,"rawSpend","3_130_15"
"255",2016-10-10,0,0,32171.3333333333,10842.500086987,11960,NA,"rawSpend","3_130_15"
"256",2016-10-17,244168.04,89387.2,0,15973.251880587,11160,NA,"rawSpend","3_130_15"
"257",2016-10-24,0,476737.6,28082.9333333333,17597.7688101301,12240,NA,"rawSpend","3_130_15"
"258",2016-10-31,281984.36,0,0,19222.2857396732,14680,NA,"rawSpend","3_130_15"
"259",2016-11-07,0,427806.4,34631.4666666667,20864.8339566018,12480,NA,"rawSpend","3_130_15"
"260",2016-11-14,156973.16,0,0,15996.046149546,0,NA,"rawSpend","3_130_15"
"261",2016-11-21,20871.16,435054.4,21879.2,20046.2815518938,0,NA,"rawSpend","3_130_15"
"262",2016-11-28,0,0,12428.8,14195.6391147518,28600,NA,"rawSpend","3_130_15"
"263",2016-12-05,42763.2,717241.6,0,4969.40359385557,25200,NA,"rawSpend","3_130_15"
"264",2016-12-12,0,0,0,9091.08371980631,22040,NA,"rawSpend","3_130_15"
"265",2016-12-19,0,1004760,0,3035.63307500258,20680,NA,"rawSpend","3_130_15"
"266",2016-12-26,323163.04,0,0,21679.6440186449,23200,NA,"rawSpend","3_130_15"
"267",2017-01-02,123163.04,1361088,83994.4,12843.6327738085,22120,NA,"rawSpend","3_130_15"
"268",2017-01-09,0,0,0,16418.9308706815,21240,NA,"rawSpend","3_130_15"
"269",2017-01-16,17739.88,0,4606.93333333332,17963.1575394137,20120,NA,"rawSpend","3_130_15"
"270",2017-01-23,0,0,32342.9333333333,19507.3842081459,21000,NA,"rawSpend","3_130_15"
"271",2017-01-30,120734.88,0,0,12841.9317089608,21680,NA,"rawSpend","3_130_15"
"272",2017-02-06,0,0,0,0,16760,NA,"rawSpend","3_130_15"
"273",2017-02-13,0,383171.2,0,24781.3656619212,0,NA,"rawSpend","3_130_15"
"274",2017-02-20,0,0,32073.0666666667,0,0,NA,"rawSpend","3_130_15"
"275",2017-02-27,0,0,0,41701.8577018849,13520,NA,"rawSpend","3_130_15"
"276",2017-03-06,0,0,42083.3333333332,0,14000,NA,"rawSpend","3_130_15"
"277",2017-03-13,31082.64,0,0,0,12640,NA,"rawSpend","3_130_15"
"278",2017-03-20,0,0,59561.4666666668,0,11320,NA,"rawSpend","3_130_15"
"279",2017-03-27,0,73428.8,0,7847.60531614557,14400,NA,"rawSpend","3_130_15"
"280",2017-04-03,0,0,0,0,13680,NA,"rawSpend","3_130_15"
"281",2017-04-10,0,1501084.8,0,0,11000,NA,"rawSpend","3_130_15"
"282",2017-04-17,22407.16,0,0,0,10640,NA,"rawSpend","3_130_15"
"283",2017-04-24,0,888464,0,0,9800,NA,"rawSpend","3_130_15"
"284",2017-05-01,109868.76,0,0,0,7800,NA,"rawSpend","3_130_15"
"285",2017-05-08,0,919038.4,0,0,8040,NA,"rawSpend","3_130_15"
"286",2017-05-15,0,0,0,0,0,NA,"rawSpend","3_130_15"
"287",2017-05-22,0,123019.2,0,11935.6043581121,0,NA,"rawSpend","3_130_15"
"288",2017-05-29,0,0,21524.1333333333,0,6520,NA,"rawSpend","3_130_15"
"289",2017-06-05,27376.4,127460.8,0,9276.15957523489,8040,NA,"rawSpend","3_130_15"
"290",2017-06-12,0,0,0,0,6680,NA,"rawSpend","3_130_15"
"291",2017-06-19,108779.04,0,0,93.8115274090074,9520,NA,"rawSpend","3_130_15"
"292",2017-06-26,0,475896,13978.2666666667,0,8000,NA,"rawSpend","3_130_15"
"293",2017-07-03,13682.28,0,28719.2,19950.3414944841,11360,NA,"rawSpend","3_130_15"
"294",2017-07-10,0,0,0,0,11160,NA,"rawSpend","3_130_15"
"295",2017-07-17,29591.4,324544,74872.5333333332,0,11560,NA,"rawSpend","3_130_15"
"296",2017-07-24,0,0,0,0,11600,NA,"rawSpend","3_130_15"
"297",2017-07-31,34154.76,616320,4357.33333333332,0,13600,NA,"rawSpend","3_130_15"
"298",2017-08-07,0,314598.4,28401.7333333333,0,16080,NA,"rawSpend","3_130_15"
"299",2017-08-14,102141.16,0,0,0,0,NA,"rawSpend","3_130_15"
"300",2017-08-21,0,0,34044.5333333333,4028.03430714441,0,NA,"rawSpend","3_130_15"
"301",2017-08-28,353667.36,0,0,2696.7809573429,21000,NA,"rawSpend","3_130_15"
"302",2017-09-04,0,0,0,0,19480,NA,"rawSpend","3_130_15"
"303",2017-09-11,146607.8,450494.4,13831.0666666667,1865.30045979246,16760,NA,"rawSpend","3_130_15"
"304",2017-09-18,0,0,0,0,19320,NA,"rawSpend","3_130_15"
